username,paid_at,amount,status,memo
kim23pk,2026-01-11,0,CONFIRMED,seed
pslee71,2026-01-11,0,CONFIRMED,seed
ssiibb77,2026-01-11,0,CONFIRMED,seed
ysb4128,2026-01-11,0,CONFIRMED,seed
wjswn1007,2026-01-16,0,CONFIRMED,seed
Km0214,2026-01-19,0,CONFIRMED,seed
ynerviris,2026-01-20,0,CONFIRMED,seed
jhwnsgml,2026-01-22,0,CONFIRMED,seed
k1k1kk,2026-01-22,0,CONFIRMED,seed
ntyoon141000,2026-01-22,0,CONFIRMED,seed
misinki1023,2026-01-24,0,CONFIRMED,seed
kiki0987,2026-01-26,0,CONFIRMED,seed
mine8779,2026-01-26,0,CONFIRMED,seed
padikkh,2026-01-26,0,CONFIRMED,seed
E0704mp,2026-01-28,0,CONFIRMED,seed
hanna,2026-01-28,0,CONFIRMED,seed
limsung0147,2026-01-28,0,CONFIRMED,seed
run111tig,2026-01-28,0,CONFIRMED,seed
uing231,2026-01-28,0,CONFIRMED,seed
jin1030,2026-01-29,0,CONFIRMED,seed
mido,2026-01-29,0,CONFIRMED,seed
terry43,2026-01-29,0,CONFIRMED,seed
tristan,2026-01-29,0,CONFIRMED,seed
1322332,2026-01-30,0,CONFIRMED,seed
ada10kr,2026-01-30,0,CONFIRMED,seed
choidw67_,2026-01-30,0,CONFIRMED,seed
hobins,2026-01-30,0,CONFIRMED,seed
jae0662,2026-01-30,0,CONFIRMED,seed
noid27,2026-01-30,0,CONFIRMED,seed
valhalia,2026-01-30,0,CONFIRMED,seed
wtwt852,2026-01-30,0,CONFIRMED,seed
cwnj486,2026-01-31,0,CONFIRMED,seed
yksam33,2026-01-31,0,CONFIRMED,seed
